radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
requirier,requirieren,requiriere,requirierst,requiriert,requirierte,requiriert,requirierte,requiriere,requiriert,haben
abbegehr,abbegehren,begehre ab,begehrst ab,begehrt ab,begehrte ab,abbegehrt,begehrte ab,begehr ab,begehrt ab,haben
abbeer,abbeeren,beere ab,beerst ab,beert ab,beerte ab,abgebeert,beerte ab,beer ab,beert ab,haben
abbefehl,abbefehlen,befehle ab,befiehlst ab,befiehlt ab,befahl ab,abbefohlen,beföhle ab,befiehl ab,befiehlt ab,haben
abbeiz,abbeizen,beize ab,beizt ab,beizt ab,beizte ab,abgebeizt,beizte ab,beiz ab,beizt ab,haben
abbekomm,abbekommen,bekomme ab,bekommst ab,bekommt ab,bekam ab,abbekommen,bekäme ab,bekomm ab,bekommt ab,haben
abberuf,abberufen,berufe ab,berufst ab,beruft ab,berief ab,abberufen,beriefe ab,beruf ab,beruft ab,haben
ennuyier,ennuyieren,ennuyiere,ennuyierst,ennuyiert,ennuyierte,ennuyiert,ennuyierte,ennuyiere,ennuyiert,haben
seng,sengen,senge,sengst,sengt,sengte,gesengt,sengte,senge,sengt,haben
own,ownen,owne,ownst,ownt,ownte,geownt,ownte,own,ownt,haben
tangier,tangieren,tangiere,tangierst,tangiert,tangierte,tangiert,tangierte,tangier,tangiert,haben
insistier,insistieren,insistiere,insistierst,insistiert,insistierte,insistiert,insistierte,insistiere,insistiert,haben
übersetz,übersetzen,übersetze,übersetzt,übersetzt,übersetzte,übersetzt,übersetzte,übersetz,übersetzt,haben
find,finden,finde,findest,findet,fand,gefunden,fände,finde,findet,haben
substituier,substituieren,substituiere,substituierst,substituiert,substituierte,substituiert,substituierte,substituier,substituiert,haben
abschmirgel,abschmirgeln,schmirgele ab,schmirgelst ab,schmirgelt ab,schmirgelte ab,abgeschmirgelt,schmirgelte ab,schmirgele ab,schmirgelt ab,haben
schmirgel,schmirgeln,schmirgle,schmirgelst,schmirgelt,schmirgelte,geschmirgelt,schmirgelte,schmirgel,schmirgelt,haben
konzedier,konzedieren,konzediere,konzedierst,konzediert,konzedierte,konzediert,konzedierte,konzediere,konzediert,haben
bereitstell,bereitstellen,stelle bereit,stellst bereit,stellt bereit,stellte bereit,bereitgestellt,stellte bereit,stelle bereit,stellt bereit,haben
derogier,derogieren,derogiere,derogierst,derogiert,derogierte,derogiert,derogierte,derogiere,derogiert,haben
gebrech,gebrechen,—,—,gebricht,gebrach,gebrochen,gebräche,—,—,haben
kusch,kuschen,kusche,kuschst,kuscht,kuschte,gekuscht,kuschte,kusch,kuscht,haben
sag,sagen,sage,sagst,sagt,sagte,gesagt,sagte,sag,sagt,haben
korrigier,korrigieren,korrigiere,korrigierst,korrigiert,korrigierte,korrigiert,korrigierte,korrigiere,korrigiert,haben
dünk,dünken,dünke,dünkst,dünkt,dünkte,gedünkt,dünkte,dünke,dünkt,haben
resorbier,resorbieren,resorbiere,resorbierst,resorbiert,resorbierte,resorbiert,resorbierte,resorbiere,resorbiert,haben
kack,kacken,kacke,kackst,kackt,kackte,gekackt,kackte,kack,kackt,haben
akquirier,akquirieren,akquiriere,akquirierst,akquiriert,akquirierte,akquiriert,akquirierte,akquiriere,akquiriert,haben
trigger,triggern,triggere,triggerst,triggert,triggerte,getriggert,triggerte,trigger,triggert,haben
internalisier,internalisieren,internalisiere,internalisierst,internalisiert,internalisierte,internalisiert,internalisierte,internalisiere,internalisiert,haben
usurpier,usurpieren,usurpiere,usurpierst,usurpiert,usurpierte,usurpiert,usurpierte,usurpier,usurpiert,haben
vermassel,vermasseln,vermassele,vermasselst,vermasselt,vermasselte,vermasselt,vermasselte,vermassele,vermasselt,haben
lob,loben,lobe,lobst,lobt,lobte,gelobt,lobte,lobe,lobt,haben
tadel,tadeln,tadele,tadelst,tadelt,tadelte,getadelt,tadelte,tadele,tadelt,haben
riech,riechen,rieche,riechst,riecht,roch,gerochen,röche,rieche,riecht,haben
schmeck,schmecken,schmecke,schmeckst,schmeckt,schmeckte,geschmeckt,schmeckte,schmecke,schmeckt,haben
sing,singen,singe,singst,singt,sang,gesungen,sänge,singe,singt,haben
bring,bringen,bringe,bringst,bringt,brachte,gebracht,brächte,bring,bringt,haben
schimpf,schimpfen,schimpfe,schimpfst,schimpft,schimpfte,geschimpft,schimpfte,schimpf,schimpft,haben
trag,tragen,trage,trägst,trägt,trug,getragen,trüge,trag,tragt,haben
epilier,epilieren,epiliere,epilierst,epiliert,epilierte,epiliert,epilierte,epiliere,epiliert,haben
kooptier,kooptieren,kooptiere,kooptierst,kooptiert,kooptierte,kooptiert,kooptierte,kooptiere,kooptiert,haben
vorstell,vorstellen,stelle vor,stellst vor,stellt vor,stellte vor,vorgestellt,stellte vor,stell vor,stellt vor,haben
verschall,verschallen,verschalle,verschallst,verschallt,verscholl,verschollen,verschölle,verschalle,verschallt,sein
widersprech,widersprechen,widerspreche,widersprichst,widerspricht,widersprach,widersprochen,widerspräche,widersprich,widersprecht,haben
brenn,brennen,brenne,brennst,brennt,brannte,gebrannt,brennte,brenne,brennt,haben
dislozier,dislozieren,disloziere,dislozierst,disloziert,dislozierte,disloziert,dislozierte,disloziere,disloziert,haben
subsumier,subsumieren,subsumiere,subsumierst,subsumiert,subsumierte,subsumiert,subsumierte,subsumiere,subsumiert,haben
evozier,evozieren,evoziere,evozierst,evoziert,evozierte,evoziert,evozierte,evoziere,evoziert,haben
kenn,kennen,kenne,kennst,kennt,kannte,gekannt,kennte,kenne,kennt,haben
nagel,nageln,nagele,nagelst,nagelt,nagelte,genagelt,nagelte,nagele,nagelt,haben
befehl,befehlen,befehle,befiehlst,befiehlt,befahl,befohlen,befähle,befiehl,befehlt,haben
zapf,zapfen,zapfe,zapfst,zapft,zapfte,gezapft,zapfte,zapfe,zapft,haben
beginn,beginnen,beginne,beginnst,beginnt,begann,begonnen,begönne,beginn,beginnt,haben
profitier,profitieren,profitiere,profitierst,profitiert,profitierte,profitiert,profitierte,profitiere,profitiert,haben
revozier,revozieren,revoziere,revozierst,revoziert,revozierte,revoziert,revozierte,revoziere,revoziert,haben
konsolidier,konsolidieren,konsolidiere,konsolidierst,konsolidiert,konsolidierte,konsolidiert,konsolidierte,konsolidiere,konsolidiert,haben
bitt,bitten,bitte,bittest,bittet,bat,gebeten,bäte,bitte,bittet,haben
beweg,bewegen,bewege,bewegst,bewegt,bewegte,bewegt,bewegte,bewege,bewegt,haben
wend,wenden,wende,wendest,wendet,wandte,gewandt,wendete,wende,wendet,haben
fahr,fahren,fahre,fährst,fährt,fuhr,gefahren,führe,fahr,fahrt,sein
betrüg,betrügen,betrüge,betrügst,betrügt,betrog,betrogen,betröge,betrüge,betrügt,haben
halbier,halbieren,halbiere,halbierst,halbiert,halbierte,halbiert,halbierte,halbier,halbiert,haben
tu,tun,tue,tust,tut,tat,getan,täte,tue,tut,haben
erfahr,erfahren,erfahre,erfährst,erfährt,erfuhr,erfahren,erführe,erfahr,erfahrt,haben
huss,hussen,husse,husst,husst,husste,gehusst,husste,husse,husst,haben
penn,pennen,penne,pennst,pennt,pennte,gepennt,pennte,penne,pennt,haben
verwurst,verwursten,verwurste,verwurstest,verwurstet,verwurstete,verwurstet,verwurstete,verwurst,verwurstet,haben
nivellier,nivellieren,nivelliere,nivellierst,nivelliert,nivellierte,nivelliert,nivellierte,nivelliere,nivelliert,haben
sekkier,sekkieren,sekkiere,sekkierst,sekkiert,sekkierte,sekkiert,sekkierte,sekkiere,sekkiert,haben
konservier,konservieren,konserviere,konservierst,konserviert,konservierte,konserviert,konservierte,konserviere,konserviert,haben
frequentier,frequentieren,frequentiere,frequentierst,frequentiert,frequentierte,frequentiert,frequentierte,frequentiere,frequentiert,haben
irritier,irritieren,irritiere,irritierst,irritiert,irritierte,irritiert,irritierte,irritiere,irritiert,haben
blätter,blättern,blättere,blätterst,blättert,blätterte,geblättert,blätterte,blättere,blättert,haben
übertrag,übertragen,übertrage,überträgst,überträgt,übertrug,übertragen,übertrüge,übertrag,übertragt,haben
versalz,versalzen,versalze,versalzt,versalzt,versalzte,versalzen,versalzte,versalze,versalzt,haben
bell,bellen,belle,bellst,bellt,bellte,gebellt,bellte,bell,bellt,haben
abäst,abästen,äste ab,ästest ab,ästet ab,ästete ab,abgeästet,ästete ab,äst ab,ästet ab,haben
purgier,purgieren,purgiere,purgierst,purgiert,purgierte,purgiert,purgierte,purgiere,purgiert,haben
detachier,detachieren,detachiere,detachierst,detachiert,detachierte,detachiert,detachierte,detachiere,detachiert,haben
nies,niesen,niese,niest,niest,nieste,geniest,nieste,niese,niest,haben
herbring,herbringen,bringe her,bringst her,bringt her,brachte her,hergebracht,brächte her,bring her,bringt her,haben
verspür,verspüren,verspüre,verspürst,verspürt,verspürte,verspürt,verspürte,verspüre,verspürt,haben
leer,leeren,leere,leerst,leert,leerte,geleert,leerte,leere,leert,haben
rüst,rüsten,rüste,rüstest,rüstet,rüstete,gerüstet,rüstete,rüste,rüstet,haben
rück,rücken,rücke,rückst,rückt,rückte,gerückt,rückte,rücke,rückt,haben
konfligier,konfligieren,konfligiere,konfligierst,konfligiert,konfligierte,konfligiert,konfligierte,konfligier,konfligiert,haben
verifizier,verifizieren,verifiziere,verifizierst,verifiziert,verifizierte,verifiziert,verifizierte,verifiziere,verifiziert,haben
pof,pofen,pofe,pofst,poft,pofte,gepoft,pofte,pofe,poft,haben
piss,pissen,pisse,pisst,pisst,pisste,gepisst,pisste,pisse,pisst,haben
pinkel,pinkeln,pinkle,pinkelst,pinkelt,pinkelte,gepinkelt,pinkelte,pinkele,pinkelt,haben
fecht,fechten,fechte,fichtst,ficht,focht,gefochten,föchte,ficht,fechtet,haben
attrahier,attrahieren,attrahiere,attrahierst,attrahiert,attrahierte,attrahiert,attrahierte,attrahier,attrahiert,haben
eruier,eruieren,eruiere,eruierst,eruiert,eruierte,eruiert,eruierte,eruiere,eruiert,haben
addier,addieren,addiere,addierst,addiert,addierte,addiert,addierte,addier,addiert,haben
behaupt,behaupten,behaupte,behauptest,behauptet,behauptete,behauptet,behauptete,behaupte,behauptet,haben
zwing,zwingen,zwinge,zwingst,zwingt,zwang,gezwungen,zwänge,zwinge,zwingt,haben
diskreditier,diskreditieren,diskreditiere,diskreditierst,diskreditiert,diskreditierte,diskreditiert,diskreditierte,diskreditiere,diskreditiert,haben
mess,messen,messe,misst,misst,maß,gemessen,mäße,miss,messt,haben
verzapf,verzapfen,verzapfe,verzapfst,verzapft,verzapfte,verzapft,verzapfte,verzapf,verzapft,haben
rumhur,rumhuren,hure rum,hurst rum,hurt rum,hurte rum,rumgehurt,hurte rum,hur rum,hurt rum,haben
indossier,indossieren,indossiere,indossierst,indossiert,indossierte,indossiert,indossierte,indossiere,indossiert,haben
robb,robben,robbe,robbst,robbt,robbte,gerobbt,robbte,robb,robbt,sein
anzieh,anziehen,ziehe an,ziehst an,zieht an,zog an,angezogen,zöge an,zieh an,zieht an,haben
kuck,kucken,kucke,kuckst,kuckt,kuckte,gekuckt,kuckte,kuck,kuckt,haben
verunglimpf,verunglimpfen,verunglimpfe,verunglimpfst,verunglimpft,verunglimpfte,verunglimpft,verunglimpfte,verunglimpfe,verunglimpft,haben
erniedrig,erniedrigen,erniedrige,erniedrigst,erniedrigt,erniedrigte,erniedrigt,erniedrigte,erniedrige,erniedrigt,haben
frings,fringsen,fringse,fringst,fringst,fringste,gefringst,fringste,fringse,fringst,haben
faulenz,faulenzen,faulenze,faulenzt,faulenzt,faulenzte,gefaulenzt,faulenzte,faulenze,faulenzt,haben
tanz,tanzen,tanze,tanzt,tanzt,tanzte,getanzt,tanzte,tanze,tanzt,haben
glaub,glauben,glaube,glaubst,glaubt,glaubte,geglaubt,glaubte,glaub,glaubt,haben
mög,mögen,mag,magst,mag,mochte,gemocht,möchte,—,—,haben
segel,segeln,segle,segelst,segelt,segelte,gesegelt,segelte,segle,segelt,haben
gleit,gleiten,gleite,gleitest,gleitet,glitt,geglitten,glitte,gleit,gleitet,sein
schweb,schweben,schwebe,schwebst,schwebt,schwebte,geschwebt,schwebte,schweb,schwebt,sein
ankreuz,ankreuzen,kreuze an,kreuzt an,kreuzt an,kreuzte an,angekreuzt,kreuzte an,kreuz an,kreuzt an,haben
ausstrahl,ausstrahlen,strahle aus,strahlst aus,strahlt aus,strahlte aus,ausgestrahlt,strahlte aus,strahl aus,strahlt aus,haben
speicher,speichern,speichere,speicherst,speichert,speicherte,gespeichert,speicherte,speichere,speichert,haben
umarm,umarmen,umarme,umarmst,umarmt,umarmte,umarmt,umarmte,umarm,umarmt,haben
betracht,betrachten,betrachte,betrachtest,betrachtet,betrachtete,betrachtet,betrachtete,betrachte,betrachtet,haben
form,formen,forme,formst,formt,formte,geformt,formte,form,formt,haben
hol,holen,hole,holst,holt,holte,geholt,holte,hole,holt,haben
atm,atmen,atme,atmest,atmet,atmete,geatmet,atmete,atme,atmet,haben
striegel,striegeln,striegele,striegelst,striegelt,striegelte,gestriegelt,striegelte,striegele,striegelt,haben
fühl,fühlen,fühle,fühlst,fühlt,fühlte,gefühlt,fühlte,fühl,fühlt,haben
renn,rennen,renne,rennst,rennt,rannte,gerannt,rennte,renn,rennt,sein
schwimm,schwimmen,schwimme,schwimmst,schwimmt,schwamm,geschwommen,schwömme,schwimm,schwimmt,sein
evakuier,evakuieren,evakuiere,evakuierst,evakuiert,evakuierte,evakuiert,evakuierte,evakuiere,evakuiert,haben
schnöker,schnökern,schnöker,schnökerst,schnökert,schnökerte,geschnökert,schnökerte,schnöker,schnökert,haben
erkundig,erkundigen,erkundige,erkundigst,erkundigt,erkundigte,erkundigt,erkundigte,erkundige,erkundigt,haben
schlürf,schlürfen,schlürfe,schlürfst,schlürft,schlürfte,geschlürft,schlürfte,schlürfe,schlürft,haben
schlurf,schlurfen,schlurfe,schlurfst,schlurft,schlurfte,geschlurft,schlurfte,schlurfe,schlurft,sein
erkober,erkobern,erkobere,erkoberst,erkobert,erkoberte,erkobert,erkoberte,erkober,erkobert,haben
ankomm,ankommen,komme an,kommst an,kommt an,kam an,angekommen,käme an,komm an,kommt an,sein
lad,laden,lade,lädst,lädt,lud,geladen,lüde,lade,ladet,haben
rüg,rügen,rüge,rügst,rügt,rügte,gerügt,rügte,rüge,rügt,haben
wachs,wachsen,wachse,wächst,wächst,wuchs,gewachsen,wüchse,wachse,wachst,sein
wasch,waschen,wasche,wäschst,wäscht,wusch,gewaschen,wüsche,wasche,wascht,haben
bad,baden,bade,badest,badet,badete,gebadet,badete,bade,badet,haben
allokier,allokieren,allokiere,allokierst,allokiert,allokierte,allokiert,allokierte,allokiere,allokiert,haben
regn,regnen,—,—,regnet,regnete,geregnet,regnete,—,—,haben
hagel,hageln,—,—,hagelt,hagelte,gehagelt,hagelte,—,—,haben
betreff,betreffen,betreffe,betriffst,betrifft,betraf,betroffen,beträfe,betreffe,betrefft,haben
disponier,disponieren,disponiere,disponierst,disponiert,disponierte,disponiert,disponierte,disponiere,disponiert,haben
surf,surfen,surfe,surfst,surft,surfte,gesurft,surfte,surfe,surft,haben
reib,reiben,reibe,reibst,reibt,rieb,gerieben,riebe,reibe,reibt,haben
tauch,tauchen,tauche,tauchst,taucht,tauchte,getaucht,tauchte,tauche,taucht,sein
schlicker,schlickern,schlickere,schlickerst,schlickert,schlickerte,geschlickert,schlickerte,schlickere,schlickert,haben
validier,validieren,validiere,validierst,validiert,validierte,validiert,validierte,validier,validiert,haben
falsifizier,falsifizieren,falsifiziere,falsifizierst,falsifiziert,falsifizierte,falsifiziert,falsifizierte,falsifiziere,falsifiziert,haben
spring,springen,springe,springst,springt,sprang,gesprungen,spränge,springe,springt,sein
prüf,prüfen,prüfe,prüfst,prüft,prüfte,geprüft,prüfte,prüf,prüft,haben
test,testen,teste,testest,testet,testete,getestet,testete,teste,testet,haben
überprüf,überprüfen,überprüfe,überprüfst,überprüft,überprüfte,überprüft,überprüfte,überprüfe,überprüft,haben
abwrack,abwracken,wracke ab,wrackst ab,wrackt ab,wrackte ab,abgewrackt,wrackte ab,wrack ab,wrackt ab,haben
umbrech,umbrechen,breche um,brichst um,bricht um,brach um,umgebrochen,bräche um,brich um,brecht um,haben
kapitalisier,kapitalisieren,kapitalisiere,kapitalisierst,kapitalisiert,kapitalisierte,kapitalisiert,kapitalisierte,kapitalisiere,kapitalisiert,haben
frett,fretten,frette,frettest,frettet,frettete,gefrettet,frettete,frette,frettet,haben
kau,kauen,kaue,kaust,kaut,kaute,gekaut,kaute,kaue,kaut,haben
mäh,mähen,mähe,mähst,mäht,mähte,gemäht,mähte,mähe,mäht,haben
blak,blaken,blake,blakst,blakt,blakte,geblakt,blakte,blake,blakt,haben
unterfertig,unterfertigen,unterfertige,unterfertigst,unterfertigt,unterfertigte,unterfertigt,unterfertigte,unterfertig,unterfertigt,haben
fluch,fluchen,fluche,fluchst,flucht,fluchte,geflucht,fluchte,fluche,flucht,haben
überdenk,überdenken,überdenke,überdenkst,überdenkt,überdachte,überdacht,überdächte,überdenke,überdenkt,haben
merk,merken,merke,merkst,merkt,merkte,gemerkt,merkte,merke,merkt,haben
werd,werden,werde,wirst,wird,wurde,geworden,würde,werde,werdet,sein
abbau,abbauen,baue ab,baust ab,baut ab,baute ab,abgebaut,baute ab,baue ab,bauet ab,haben
abbestell,abbestellen,bestelle ab,bestellst ab,bestellt ab,bestellte ab,abbestellt,bestellte ab,bestell ab,bestellt ab,haben
erleg,erlegen,erlege,erlegst,erlegt,erlegte,erlegt,erlegte,erleg,erlegt,haben
wichs,wichsen,wichse,wichst,wichst,wichste,gewichst,wichste,wichse,wichst,haben
masturbier,masturbieren,masturbiere,masturbierst,masturbiert,masturbierte,masturbiert,masturbierte,masturbiere,masturbiert,haben
abast,abasten,aste ab,astest ab,astet ab,astete ab,abgeastet,astete ab,aste ab,astet ab,haben
abbieg,abbiegen,biege ab,biegst ab,biegt ab,bog ab,abgebogen,böge ab,bieg ab,biegt ab,haben
abbild,abbilden,bilde ab,bildest ab,bildet ab,bildete ab,abgebildet,bildete ab,bild ab,bildet ab,haben
abbind,abbinden,binde ab,bindest ab,bindet ab,band ab,abgebunden,bände ab,bind ab,bindet ab,haben
abblend,abblenden,blende ab,blendest ab,blendet ab,blendete ab,abgeblendet,blendete ab,blende ab,blendet ab,haben
abblitz,abblitzen,blitze ab,blitzt ab,blitzt ab,blitzte ab,abgeblitzt,blitzte ab,blitze ab,blitzt ab,sein
abblätter,abblättern,blättre ab,blätterst ab,blättert ab,blätterte ab,abgeblättert,blätterte ab,blättre ab,blättert ab,sein
abbröckel,abbröckeln,bröckele ab,bröckelst ab,bröckelt ab,bröckelte ab,abgebröckelt,bröckelte ab,bröckele ab,bröckelt ab,haben
abbrösel,abbröseln,brösele ab,bröselst ab,bröselt ab,bröselte ab,abgebröselt,bröselte ab,brösele ab,bröselt ab,haben
abbrenn,abbrennen,brenne ab,brennst ab,brennt ab,brannte ab,abgebrannt,brennte ab,brenn ab,brennt ab,haben
abbring,abbringen,bringe ab,bringst ab,bringt ab,brachte ab,abgebracht,brächte ab,bring ab,bringt ab,haben
schmul,schmulen,schmule,schmulst,schmult,schmulte,geschmult,schmulte,schmul,schmult,haben
kiebitz,kiebitzen,kiebitze,kiebitzt,kiebitzt,kiebitzte,gekiebitzt,kiebitzte,kiebitz,kiebitzt,haben
abbuch,abbuchen,buche ab,buchst ab,bucht ab,buchte ab,abgebucht,buchte ab,buch ab,bucht ab,haben
abcheck,abchecken,checke ab,checkst ab,checkt ab,checkte ab,abgecheckt,checkte ab,check ab,checkt ab,haben
abdank,abdanken,danke ab,dankst ab,dankt ab,dankte ab,abgedankt,dankte ab,danke ab,dankt ab,haben
abdeck,abdecken,decke ab,deckst ab,deckt ab,deckte ab,abgedeckt,deckte ab,deck ab,deckt ab,haben
werb,werben,werbe,wirbst,wirbt,warb,geworben,würbe,wirb,werbt,haben
saft,saften,safte,saftest,saftet,saftete,gesaftet,saftete,safte,saftet,haben
notier,notieren,notiere,notierst,notiert,notierte,notiert,notierte,notiere,notiert,haben
zwitscher,zwitschern,zwitschere,zwitscherst,zwitschert,zwitscherte,gezwitschert,zwitscherte,zwitscher,zwitschert,haben
missacht,missachten,missachte,missachtest,missachtet,missachtete,missachtet,missachtete,missachte,missachtet,haben
ausseh,aussehen,sehe aus,siehst aus,sieht aus,sah aus,ausgesehen,sähe aus,sieh aus,seht aus,haben
ausschau,ausschauen,schaue aus,schaust aus,schaut aus,schaute aus,ausgeschaut,schaute aus,schau aus,schaut aus,haben
